ID;CourseID;Number;SpecificationAbb;Edition;EditionOrder;Year;Type;StarValue;Remark
158;14;15;SS;3;1;;PT;1;
159;14;16;SS;3;1;;PT;1;
160;14;17;SS;3;1;;PT;1;
161;14;18;SS;3;1;;PT;1;
162;14;19;SS;3;2;;PT;1;
163;14;20;SS;3;1;;PT;1;
164;14;21;SS;3;1;;PT;1;
165;14;22;SS;3;1;;PT;1;
166;14;23;SS;3;1;;PT;1;
167;14;24;SS;3;1;;PT;1;
168;15;13;BR;3;1;;PT;1;
169;15;14;BR;3;1;;PT;1;
170;15;15;BR;3;1;;PT;1;
171;15;16;BR;3;1;;PT;1;
172;15;17;BR;3;1;;PT;1;
173;15;18;BR;3;1;;PT;1;
174;15;19;BR;3;1;;PT;1;
175;15;20;BR;3;1;;PT;1;
176;15;21;BR;3;1;;PT;1;
177;15;22;BR;3;1;;PT;1;
178;15;23;BR;3;1;;PT;1;
179;15;24;BR;3;1;;PT;1;
180;16;25;MA;3;1;;PT;1;
181;16;26;MA;3;1;;PT;1;
182;16;27;MA;3;1;;PT;1;
183;16;28;MA;3;1;;PT;1;
184;16;29;MA;3;1;;PT;1;
185;16;30;MA;3;1;;PT;1;
186;16;31;MA;3;1;;PT;1;
187;16;32;MA;3;1;;PT;1;
188;16;33;MA;3;1;;PT;1;
189;16;34;MA;3;1;;PT;1;
190;16;35;MA;3;1;;PT;1;
191;16;36;MA;3;1;;PT;1;
192;17;25;EN;3;1;;PT;1;
193;17;26;EN;3;1;;PT;1;
194;17;27;EN;3;1;;PT;1;
195;17;28;EN;3;1;;PT;1;
196;17;29;EN;3;1;;PT;1;
197;17;30;EN;3;1;;PT;1;
198;17;31;EN;3;1;;PT;1;
199;17;32;EN;3;1;;PT;1;
200;17;33;EN;3;1;;PT;1;
201;17;34;EN;3;1;;PT;1;
202;17;35;EN;3;1;;PT;1;
203;17;36;EN;3;1;;PT;1;
204;18;25;WB;3;1;;PT;1;
205;18;26;WB;3;1;;PT;1;
206;18;27;WB;3;1;;PT;1;
207;18;28;WB;3;1;;PT;1;
208;18;29;WB;3;1;;PT;1;
209;18;30;WB;3;1;;PT;1;
210;18;31;WB;3;1;;PT;1;
211;18;32;WB;3;1;;PT;1;
212;18;33;WB;3;1;;PT;1;
213;18;34;WB;3;1;;PT;1;
214;18;35;WB;3;1;;PT;1;
215;18;36;WB;3;1;;PT;1;
216;19;25;LC;3;1;;PT;1;
217;19;26;LC;3;1;;PT;1;
218;19;27;LC;3;1;;PT;1;
219;19;28;LC;3;1;;PT;1;
220;19;29;LC;3;1;;PT;1;
221;19;30;LC;3;1;;PT;1;
222;19;31;LC;3;1;;PT;1;
223;19;32;LC;3;2;;PT;1;
224;19;33;LC;3;1;;PT;1;
225;19;34;LC;3;1;;PT;1;
226;19;35;LC;3;1;;PT;1;
227;19;36;LC;3;1;;PT;1;
228;20;25;SC;3;1;;PT;1;
229;20;26;SC;3;1;;PT;1;
230;20;27;SC;3;1;;PT;1;
231;20;28;SC;3;1;;PT;1;
232;20;29;SC;3;1;;PT;1;
233;20;30;SC;3;1;;PT;1;
234;20;31;SC;3;1;;PT;1;
235;20;32;SC;3;1;;PT;1;
236;20;33;SC;3;1;;PT;1;
237;20;34;SC;3;1;;PT;1;
238;20;35;SC;3;1;;PT;1;
239;20;36;SC;3;1;;PT;1;
240;21;25;SS;3;1;;PT;1;
241;21;26;SS;3;1;;PT;1;
242;21;27;SS;3;1;;PT;1;
243;21;28;SS;3;1;;PT;1;
244;21;29;SS;3;1;;PT;1;
245;21;30;SS;3;1;;PT;1;
246;21;31;SS;3;1;;PT;1;
247;21;32;SS;3;1;;PT;1;
248;21;33;SS;3;1;;PT;1;
249;21;34;SS;3;1;;PT;1;
250;21;35;SS;3;1;;PT;1;
251;21;36;SS;3;1;;PT;1;
252;22;25;BR;3;1;;PT;1;
