ID,Name,Alias,ICCE-Alias,Level,SubjectID,Remarks,Specification,SubjectGroupID,CourseType,Course,PassThreshold,Status
67,,Complete Art,,9,10,,CA,2,Further Credit Option,Complete Art,0.8,
68,,Word Building / Etymology,,9,3,,ET,1,Core,Word Building Level 9,0.9,
69,,Music,,9,10,,MU,3,Further Credit Option,Music,0.8,
70,,Music Theory/Performance Grade 5,,9,10,,MT,3,Further Credit Option,Music Theory/Performance Grade 5,0.8,
71,,Music Theory/Performance,,9,10,Is duplicate of 70? Or perhaps the other one is theory and this one is performance,MT,3,Further Credit Option,Music Theory/Performance,0.8,
72,,Speech,,9,3,,SP,3,Core,Speech,0.8,
73,,ICCE Literature Level 9,,9,4,Voor Essays vanaf een bepaald niveau worden er geen sterren gegeven. Dit vak heeft geen lesmateriaal. Het zijn gewoon vier boeken waar een essay voor moet worden geschreven.,I9,2,Core,ICCE Literature Level 9,0.8,
74,,Astronomy,,9,5,,AS,2,Further Credit Option,Astronomy,0.8,
75,Science 9,Biology / Science Level 9,,9,5,,BI,2,Core,Science Level 9,0.8,
76,,Health,,9,5,,HE,2,Further Credit Option,Health,0.8,
77,,Nutrition Science,,9,5,,NS,2,Further Credit Option,Nutrition Science,0.8,
78,,Sport + Health,,9,5,Is een combinatie vak dat alleen met Health samen gedaan kan worden? ON HOLD Informatie moet nog bevestigd worden,SP,3,Further Credit Option,Sport + Health,0.8,
79,,A.C.E. Training,,9,10,,AC,4,Further Credit Option,A.C.E. Training,0.8,
80,,World Geography,Social Studies I-C,9,6,,WG,2,Core,Social Studies Level 9 World Geography,0.8,
81,,Apologetics I,Apologetics I-A (2022),9,7,"Dit zijn resp. PACE's 97,102 in de oude editie (2018). 2 sterren voor de twee toetsen, en 1 ster voor het essay",AP,1,Core,Apologetics I,0.8,
82,,Missions,,9,7,,MI,1,Further Credit Option,Missions,0.8,
83,Successful Living,Successful Living,,9,7,Vroeger kwam dit na BS Level 9 (NTS). Dit is vanaf 2024-01 een keuze voor General en Intermediate geworden (verplichting is vervallen). In plaats daarvan is ICCE Phys Science verplicht geworden in Level 9.,SL,1,Core,Successful Living,0.8,
84,,A.C.E. Training + 30 hours of service,,9,10,,AT,4,Further Credit Option,A.C.E. Training + 30 hours of service,0.8,
85,,ECDL Course,,9,10,Wat is dit? ,ED,3,Core,ECDL Course,0.8,
86,,Geometry,Mathematics-IIA,10,1,,GE,2,Core,Geometry,0.8,
87,,English II,,10,2,,EN,2,Core,English II,0.8,
88,,Rosetta Stone Level 10,,10,2,Each six stars,RS,2,Further Credit Option,Rosetta Stone Level 10,0.8,
89,,Music Theory/Performance Grade 6,,10,10,,MT,3,Further Credit Option,Music Theory/Performance Grade 6,0.8,
90,Science 10,Physical Science,,10,5,Dat klopt,PS,2,Core,Science Level 10,0.8,
91,History of Civilisation I,History of Civilisation I,Social Studies II-B,10,6,,HC,2,Core,Social Studies Level 10,0.8,
92,,Apologetics II,Apologetics I-B (2022),10,7,"De oude nummering hiervan is resp. PACE's 98-101 (nu dus 7-10). Hier mag gekozen worden voor Apologetics II (i.e. boekjes 3 en 4) of uit Groep 1 (i.e. Christian Studies, van Intermediate). Klopt deze laatste opmerking (keuze uit Groep 1)? Er is geen toets bij Apologetics II, maar wel een essay, waar drie sterren voor worden gegeven.",AP,1,Further Credit Option,Apologetics II,0.8,
93,,Christian Counselling I,,10,7,Correct gespeld? Is Amerikaans materiaal maar Britse spelling?,CC,1,Further Credit Option,Christian Counselling I,0.8,
94,,Life of Christ I,,10,7,,LC,1,Further Credit Option,Life of Christ I,0.8,
95,Biblical Studies II,Old Testament Survey,Biblical Studies II: Old Testament Survey ICCE-C25,10,7,"Ik kan alleen PACEs 1-10 vinden, zijn waarschijnlijk oude edities",OT,1,Core,Old Testament Survey,0.8,
